Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,312130,Wineries,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,312130,Wineries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
2013,312140,Distilleries,carbon dioxide,"kg/2018 USD, purchaser price",0.189,0.036,0.224,3,3,1,4,1
2013,312140,Distilleries,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,3,1,1,1
2013,312140,Distilleries,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,312140,Distilleries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,4,1
2013,312200,Tobacco product manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.143,0.025,0.169,3,3,1,3,1
2013,312200,Tobacco product manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,312200,Tobacco product manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,312200,Tobacco product manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,3,1
2013,313100,"Fiber, yarn, and thread mills",carbon dioxide,"kg/2018 USD, purchaser price",0.692,0.022,0.714,3,3,1,3,1
2013,313100,"Fiber, yarn, and thread mills",methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,1,1
2013,313100,"Fiber, yarn, and thread mills",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,313100,"Fiber, yarn, and thread mills",other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
2013,313200,Fabric mills,carbon dioxide,"kg/2018 USD, purchaser price",0.498,0.05,0.547,3,3,1,3,1
2013,313200,Fabric mills,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.003,3,3,1,1,1
2013,313200,Fabric mills,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,313200,Fabric mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,3,1
2013,313300,Textile and fabric finishing and fabric coating mills,carbon dioxide,"kg/2018 USD, purchaser price",0.407,0.064,0.471,3,3,1,4,1
2013,313300,Textile and fabric finishing and fabric coating mills,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,1,1
2013,313300,Textile and fabric finishing and fabric coating mills,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,313300,Textile and fabric finishing and fabric coating mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
